75271,2495,9249,-3629
75281,2519,11187,-4841
75291,2527,11427,-4372
75301,2504,8556,-867
75311,2523,10028,-1730
75321,2512,8427,255
75330,2519,8705,496
75339,2532,9570,38
75348,2508,6692,3116
75358,2535,9057,847
75367,2502,5304,4331
75377,2488,3639,5568
75387,2521,6757,2056
75397,2524,6719,1800
75407,2527,6683,1450
75417,2521,5749,2151
75427,2536,6961,657
75436,2521,5113,2084
75446,2525,5258,1719
75456,2506,3095,3420
75466,2515,3840,2369
75476,2494,1548,4184
75486,2495,1571,3628
75496,2499,1892,2986
75506,2504,2297,2131
75516,2485,282,3811
75525,2500,1768,2200
75535,2499,1580,2043
75545,2534,5001,-1491
75555,2531,4451,-1090
75565,2507,1828,1270
75575,2520,3037,-199
75585,2533,4185,-1409
75595,2541,4776,-2032
75605,2513,1737,915
75614,2522,2550,16
75623,2513,1523,1042
75633,2513,1446,1110
75643,2528,2874,-251
75653,2508,730,1787
75662,2480,-2105,4464
75672,2489,-1100,3268
75682,2479,-2045,3971
75692,2515,1656,46
75701,2509,973,497
75710,2488,-1174,2445
75720,2510,1083,56
75729,2487,-1270,2047
75739,2479,-2006,2331
75749,2516,1793,-1465
75759,2485,-1396,1461
75769,2496,-226,175
75778,2502,385,-506
75787,2524,2565,-2708
75797,2496,-362,147
75867,2491,-844,713
75876,2511,1198,-1176
75886,2534,3437,-3050
75896,2500,-133,402
75905,2520,1872,-1544
75915,2520,1779,-1254
75925,2516,1290,-751
75935,2514,1025,-333
75945,2522,1774,-830
75955,2517,1185,-282
75965,2528,2226,-1081
75975,2537,3015,-1654
75985,2502,-635,1928
75995,2509,96,1032
76004,2509,91,1067
76013,2512,386,853
76022,2536,2767,-1421
76032,2508,-171,1275
76042,2521,1137,51
76051,2508,-219,1269
76061,2516,591,379
76070,2550,3962,-2813
76080,2527,1464,-285
76090,2548,3490,-2198
76100,2519,416,825
76109,2522,695,443
76118,2544,2860,-1731
76128,2527,1017,221
76137,2522,466,797
76146,2561,4343,-2796
76156,2545,2526,-836
76166,2540,1900,-267
76176,2552,3005,-1161
76186,2570,4654,-2576
76196,2552,2621,-354
76206,2537,991,1303
76215,2540,1241,871
76224,2570,4179,-1885
76234,2545,1470,688
76243,2554,2296,-12
76252,2537,482,1788
76261,2553,2057,159
76270,2578,4455,-2008
76280,2536,32,2385
76289,2562,2630,-327
76299,2556,1898,362
76308,2538,3,2130
76317,2541,303,1650
76326,2562,2388,-585
76336,2569,2969,-1142
76346,2557,1620,247
76355,2560,1839,68
76364,2580,3747,-1867
76374,2553,860,978
76383,2574,2917,-1036
76393,2558,1171,754
76402,2574,2712,-742
76412,2562,1377,387
76421,2543,-591,2314
76431,2562,1337,299
76440,2556,671,884
76449,2557,737,866
76458,2558,800,836
76467,2563,1260,301
76476,2548,-302,1646
76486,2551,12,1224
76495,2516,-3487,4369
76505,2515,-3413,3817
76515,2522,-2542,2720
76525,2519,-2715,2517
76535,2538,-680,358
76544,2535,-946,380
76553,2522,-2198,1394
76563,2555,1211,-1895
76573,2510,-3349,2353
76583,2512,-2981,1741
76593,2532,-832,-511
76603,2516,-2391,833
76613,2542,328,-1947
76623,2549,1012,-2543
76633,2519,-2038,370
76643,2532,-636,-841
76653,2540,195,-1433
76663,2523,-1514,345
76673,2527,-1038,-18
76683,2520,-1686,562
76693,2520,-1602,434
76703,2570,3477,-4267
76713,2523,-1396,432
76723,2530,-626,-155
76733,2541,504,-1054
76743,2561,2479,-2808
76753,2544,655,-781
76762,2574,3622,-3528
76772,2556,1641,-1506
76782,2524,-1640,1802
76792,2535,-458,632
76801,2544,464,-272
76871,2560,2041,-1612
76881,2574,3339,-2617
76891,2540,-227,1046
76901,2564,2183,-1112
76911,2586,4274,-3150
76921,2549,360,880
76930,2566,2042,-623
76940,2560,1340,134
76949,2576,2873,-1372
76959,2532,-1669,3015
76969,2532,-1586,2585
76979,2539,-807,1642
76989,2552,533,447
76998,2560,1306,-208
77008,2565,1741,-558
77018,2540,-846,1836
77028,2564,1596,-722
77038,2567,1816,-805
77048,2548,-174,1027
77058,2572,2234,-1516
77068,2570,1922,-1101
77078,2548,-373,1033
77088,2564,1245,-591
77098,2549,-317,758
77107,2582,2998,-2246
77117,2571,1748,-773
77127,2573,1861,-708
77137,2552,-331,1426
77147,2547,-814,1768
77157,2556,125,720
77166,2564,919,44
77175,2568,1273,-331
77185,2564,809,65
77194,2562,569,355
77203,2547,-958,1670
77213,2574,1788,-1085
77223,2571,1399,-578
77233,2561,329,430
77242,2574,1612,-724
77252,2572,1332,-554
77262,2570,1065,-333
77272,2561,112,503
77281,2584,2406,-1608
77291,2588,2686,-1654
77301,2549,-1348,2281
77311,2580,1819,-826
77321,2578,1528,-518
77331,2543,-2048,2867
77341,2532,-3045,3624
