36175,1696,2208,-787,207,33500,15000,752,534
36185,1679,398,-784,-202,33504,14998,748,530
36195,1672,-321,-758,-292,33501,14995,747,534
36205,1690,1493,-802,822,33516,15003,758,531
36215,1676,19,-817,580,33516,15009,756,532
36225,1678,218,-728,-48,33518,15009,750,531
36235,1692,1607,-769,754,33534,15016,758,528
36245,1702,2526,-809,516,33559,15021,756,529
36255,1698,2000,-826,690,33579,15028,758,536
36265,1690,1100,-777,56,33590,15029,752,526
36275,1700,2045,-866,753,33611,15036,759,530
36285,1717,3643,-1007,215,33647,15038,754,531
36295,1713,3060,-1136,-295,33678,15036,749,527
36305,1700,1608,-1171,1019,33694,15046,762,535
36315,1696,1127,-973,168,33705,15047,754,533
36325,1700,1471,-804,560,33720,15053,758,525
36335,1706,1997,-791,1032,33740,15063,763,533
36345,1704,1697,-803,280,33757,15066,756,537
36355,1700,1213,-673,966,33769,15076,763,529
36365,1699,1052,-635,-81,33780,15075,753,534
36375,1700,1100,-584,822,33791,15083,762,529
36385,1703,1344,-468,381,33804,15087,758,529
36395,1716,2577,-383,362,33830,15091,758,530
36405,1721,2948,-361,544,33859,15096,760,531
36415,1704,1101,-280,1016,33870,15106,765,535
36425,1724,3046,-274,966,33901,15116,765,535
36435,1709,1393,-80,717,33915,15123,763,526
36445,1709,1324,54,581,33928,15129,762,532
36455,1730,3358,-48,-47,33961,15128,756,534
36465,1736,3789,-196,1255,33999,15141,769,528
36475,1725,2500,-227,592,34024,15147,763,536
36485,1719,1775,-183,162,34042,15149,759,537
36495,1716,1386,-143,454,34056,15153,762,530
36505,1725,2217,-185,731,34078,15160,765,528
36515,1736,3206,-299,695,34110,15167,765,535
36525,1724,1846,-319,-139,34129,15166,757,535
36535,1725,1853,-321,1167,34147,15178,770,526
36545,1741,3360,-337,909,34181,15187,768,533
36555,1730,2092,-252,1063,34202,15197,770,535
36565,1731,2088,-286,610,34223,15204,766,534
36575,1745,3384,-279,-20,34257,15203,760,530
36585,1744,3114,-347,380,34288,15207,764,534
36595,1738,2359,-357,-38,34311,15207,760,530
36605,1721,541,-130,463,34317,15211,765,534
36615,1692,-2385,281,-59,34293,15211,760,528
36625,1696,-1866,547,-856,34274,15202,752,527
36635,1675,-3873,876,-813,34235,15194,752,525
36645,1678,-3379,1125,-1072,34202,15183,749,525
36655,1666,-4410,1465,-1919,34158,15164,740,521
36665,1665,-4290,1820,-1623,34115,15148,742,526
36675,1664,-4175,2046,-842,34073,15140,749,523
36685,1664,-3966,2231,-1000,34033,15130,747,514
36695,1660,-4168,2492,-1750,33992,15112,739,521
36705,1652,-4760,2682,-1862,33944,15093,737,522
36715,1670,-2721,2710,-1069,33917,15083,744,517
36725,1654,-4185,2887,-1415,33875,15069,740,521
36735,1654,-3976,2993,-1145,33835,15057,742,514
36745,1655,-3677,2997,-1687,33798,15040,736,518
36755,1672,-1794,2757,-1203,33780,15028,740,519
36765,1650,-3904,2482,-1343,33741,15015,738,517
36775,1664,-2308,2154,-1576,33718,14999,735,521
36785,1656,-2993,1766,102,33688,15000,751,523
36795,1668,-1643,1350,-702,33672,14993,743,521
36805,1666,-1761,915,-967,33654,14983,740,518
36815,1657,-2573,582,-418,33628,14979,745,519
36825,1670,-1144,202,-98,33617,14978,748,520
36835,1667,-1387,-109,-893,33603,14969,740,527
36845,1664,-1618,-375,51,33587,14970,749,520
36855,1680,62,-740,248,33588,14972,751,524
36865,1656,-2340,-786,-1263,33564,14960,736,527
36875,1666,-1223,-957,-700,33552,14953,741,524
36885,1671,-662,-1106,-165,33545,14951,746,524
36895,1680,271,-1252,-857,33548,14942,739,525
36905,1667,-1042,-1172,-114,33538,14941,746,519
36915,1674,-290,-1259,491,33535,14946,752,526
36925,1668,-875,-1193,-733,33526,14939,740,516
36935,1684,767,-1270,103,33534,14940,748,521
36945,1679,229,-1219,-501,33536,14935,742,523
36955,1675,-182,-1154,-576,33534,14929,741,522
36965,1656,-2073,-1023,-47,33513,14929,746,518
36975,1670,-569,-907,-345,33508,14925,743,518
36985,1663,-1240,-774,-128,33495,14924,745,516
36995,1676,121,-750,-21,33496,14924,746,522
37005,1671,-385,-604,-120,33493,14922,745,523
37015,1680,534,-669,-814,33498,14914,738,526
37025,1678,307,-650,26,33501,14915,746,525
37035,1672,-307,-566,-75,33498,14914,745,522
37045,1671,-392,-434,-171,33494,14912,744,522
37055,1670,-472,-386,-162,33489,14910,744,521
37065,1684,950,-393,145,33499,14912,747,521
37075,1684,903,-434,738,33508,14919,753,522
37085,1680,458,-354,601,33512,14925,752,526
37095,1682,635,-328,71,33519,14926,747,523
37105,1679,303,-313,467,33522,14931,751,523
37115,1679,288,-414,144,33525,14932,748,520
37125,1692,1573,-494,137,33540,14933,748,520
37135,1680,294,-527,130,33543,14935,748,526
37145,1688,1080,-525,523,33554,14940,752,523
37155,1700,2226,-620,197,33576,14942,749,526
37165,1689,1014,-583,487,33587,14947,752,529
37175,1687,764,-549,63,33594,14947,748,527
37185,1700,2026,-632,960,33615,14957,757,523
37195,1686,525,-613,12,33620,14957,748,527
37205,1714,3298,-770,311,33653,14960,751,526
37215,1703,2033,-749,395,33673,14964,752,522
37225,1708,2432,-759,-23,33697,14964,748,525
37235,1700,1510,-731,577,33713,14970,754,524
37245,1688,235,-609,948,33715,14979,758,531
37255,1702,1623,-599,1000,33731,14989,759,522
37265,1696,941,-552,750,33741,14997,757,526
37275,1722,3494,-590,-386,33775,14993,746,523
37285,1700,1119,-558,432,33787,14997,754,526
37295,1720,3064,-599,511,33817,15002,755,529
